ENTE|CORREO
Alvaldia Municipial de Yamabal|alcaldiayamabal@gmail.com
Alcaldia Municipal de Jocoaitique|alcaldiadejocoaitique@yahoo.es
Alcaldia Municipal de Guatajiagua|alcaldiampalguatajiagua@hotmail.com
Alcaldia Municipal de Chilanga |amchilanga@hotmail.com
Alcaldia Municipal de San Francisco Gotera|ilicenteno89@hotmail.com 
Alcaldia Municipal de Arambala|alcaldiaarambala@gmail.com 
Alcaldia Municipal de Cacaopera|oficialdeinformacion.cacaopera@gmail.com; alcaldiadecacaopera@yahoo.es
Alcaldia Municipal de Corinto|alcaldiamunicipaldecorinto@yahoo.com
Alcaldia Municipal de Delicias de Concepción|alcaldiadelicias@gmail.com
Alcaldia Municipal de El Divisadero|alcaldia_divisadero@yahoo.com
Alcaldia Municipal de El Rosario|alcaldiavillaelrosario@yahoo.com
Alcaldia Municipal de Gualococti|amguacolocti@hotmail.com
Alcaldia Municipal de Joateca|alcaldiamunicipaljoateca@gmail.com; alcaldiajoateca@yahoo.es 
Alcaldia Municipal de Jocoro|info@alcaldiadejocoro.gob.sv; alcaldiajocoro@hotmail.com
Alcaldia Municipal de Lolotiquilllo|alcaldia_lolotiquillo@hotmail.com
Alcaldia Municipal de Meanguera|alcaldiameanguera@gmail.com
Alcaldia Municipal de Osicala|secretariomunicipaldeosicala@hotmail.com; alcaldiamunicipalosicala15@hotmail.com
Alcaldia Municipal de Perquin|alcaldiaperquinorg@gmail.com
Alcaldia Municipal de San Carlos|info@alcaldiasancarlos.com
Alcaldia Municipal de San Fernando|alcaldiadesanfernandom@hotmail.com
Alcaldia Municipal de San Isidro|alcaldiasanisidromo@gmail.com
Alcaldia Municipal de San Simón|alcaldiasansimon@hotmail.com
Alcaldia Municipal de Sensembra|alcaldiasesembrera@hotmail.com
Alcaldia Municipal de Sociedad|alcaldiasociedad@gmail.com
Alcaldia Municipal de Torola|oficialdeinformaciontorola@gmail.com; alcaldiadetorolam@yahoo.com
Alcaldia Municipal de Yoloaiquin|laipyoloaiquin@hotmail.com; uaipyoloaquin@hotmail.com
