NOMBRE|CORREO
Alcaldia Municipal de Ayutuxtepeque|uaip@ayutuxtepeque.gob.sv 
Alcaldia Municipal de Soyapango|uaipalcaldiadesoyapango@gmail.com; nefpineda@hotmail.com
Alcaldia Municipal de San Salvador|svalle@sansalvador.gob.sv
Alcaldia Municipal de Ciudad Delgado|transparencia.delgado@gmail.com
Alcaldia Municipal de Ilopango|transparencia@alcaldiadeilopango.gob.sv 
Alcaldia Municipal de Guazapa|alcaldia_guazapa@yahoo.es; cisnerosmarinero@gmail.com
Alcaldia Municipal de Nejapa|oficial_informacion@alcaldianejapa.gob.sv 
Alcaldia Municipal de Aguilares|transparenciaaguilares@gmail.com
Alcaldia Municipal de Apopa|laipapopa@gmail.com; kerens_88@yahoo.com
Alcaldia Municipal de Cuscatancingo|uaip@cuscatancingo.gob.sv; secretaria@cusctancingo.gob.sv
Alcaldia Municipal de El Paisnal|uaipelpaisnal1994@gmail.com 
Alcaldia Municipal de Mejicanos|uaip@mejicanos.gob.sv 
Alcaldia Municipal de Panchimalco|accesoinfopanchimalco@gmail.com
Alcaldia Municipal de Rosario de Mora|alcaldia.rosariodemora@hotmail.com; oir@rosariodemora.gob.sv
Alcaldia Municipal de San Marcos|alcaldiasanmarcos.es@hotmail.com
Alcaldia Municipal de San Martín|alcaldiasanmartin@gmail.com; waldy_pana@hotmail.com
Alcaldia Municipal de Santiago Texacuangos|secretariomunicipal.st@gmail.com
Alcaldia Municipal de Santo Tomás|secretariamunicipal@santotomas.gob.sv; daniel.escobar009@gmail.com
Alcaldia Municipal de Tonacatepeque|gilda.moncada@hotmail.com
