NOMBRE|CORREO
Alcaldia Municipal de Lislique|alcaldiamun_lislique@yahoo.es
Alcaldia Municipal de Intipuca|alcaldiadeintipuca2012_2015@hotmail.com; uaipami2016@hotmail.com
Alcaldia Municipal de La Unión|transparencia@alcaldialaunion.gob.sv; uaipamlu@gmail.com
Alcaldia Municipal de Anamorós|
Alcaldia Municipal de Bolívar|w_galdamez74@hotmail.com; alcaldia_bolívar@hotmail.com
Alcaldia Municipal de Concepción de Oriente|alcaldiaconcepciondeoriente@hotmail.com
Alcaldia Municipal de Conchagua|alcaldiaconchagua@hotmail.com; alcaldiamunicipal@conchagua.gob.sv; informacionpublica@conchagua.gob.sv 
Alcaldia Municipal de El Carmen|alcaldiamunicipalelcarmen@gmail.com; unidaddecomuncacionamec@hotmail.com 
Alcaldia Municipal de El Sauce|alcaldiamunicipalelsauce@hotmail.com
Alcaldia Municipal de Meanguera del Golfo|alcaldiamg.secretariamunicipal@gmail.com
Alcaldia Municipal de Nueva Esparta|alcaldiadenuevaesparta@yahoo.com
Alcaldia Municipal de Pasaquina|alcaldiamunicipalpasaquina@gmail.com; vladimir_07@hotmail.com 
Alcaldia Municipal de Polorós|alcaldiampoloros@gmail.com; mauricioalcontre@gmail.com 
Alcaldia Municipal de San Alejo|alcaldiasanalejo@hotmail.com
Alcaldia Municipal de San José Las Fuentes|alcaldiasanjoself@yahoo.es
Alcaldia Municipal de Santa Rosa de Lima|alcaldia.srl@gmail.com; luis_ede_27@hotmail.com 
Alcaldia Municipal de Santa Rosa de Yayantique|alcaldia.yayantique@gmail.com
Alcaldia Municipal de Santa Rosa de Yucuaiquin|alcaldia_de_yucuaiquin@yahoo.com
