NOMBRE|CORREO
Alcaldia Municipal de La Villa de Santa Cruz Michapa|uaip@santacruzmichapa.gob.sv 
Alcalda Municipal de Santa Cruz Analquito|alcaldiasantacruzanalquito@yahoo.es
Alcaldia Municipal de San José Guayabal|uaip@sanjoseguayabal.com
Alcaldia Municipal de San Rafael Cedros|alcaldia_cedros@hotmail.com
Alcaldia Municipal de El Rosario|alcaldiaelrosariocus@yahoo.es
Alcaldia Municipal de San Bartolomé Perulapía|uaipsvperulapia@gmail.com 
Alcaldia Municipal de Suchitoto|alcaldiamunicipalsuchitoto@hotmail.com 
Alcaldia Municipal Villa de Tenancingo|tenancingoalcaldia@yahoo.es; army210380@gmail.com 
Alcaldia Municipal de Cojutepeque|alcaldiadecojutepeque@yahoo.com; am_cojutepeque@yahoo.es
Alcaldia Municipal de San Ramón|alcaldiasanramon5038712@yahoo.es; paquita2962@hotmail.com 
Alcaldia Municipal de Candelaria|alcaldiacandelariacuscatlan@hotmail.com
Alcaldia Municipal de El Carmen|alcaldiaelcarmencuscatlan@yahoo.es
Alcaldia Municipal de Monte San Juan|alcaldia_montesanjuan@hotmail.com; maha@hotmail.es
Alcaldia Municipal de Oratorio de Concepción|oratorioconcepcion@yahoo.com
Alcaldia Municipal de  San Cristobal|alcaldiasancristobal@hotmail.com
Alcaldia Municipal de  San Pedro Perulapan|oir@spp.gob.sv
