NOMBRE|CORREO
Alcaldia Municipal de Concepción de Ataco|alcaldia.ataco@gmail.com: luis.justo@yahoo.com 
Alcaldia Municipal El Refugio|alcaldiaelrefugio@hotmail.com; alcaldiamunicipalelrefugio@gmail.com 
Alcaldia Municipal de Guaymango|Consultar correo electrónico
Alcaldia Municipal de San Lorenzo|sanlorenzocomuna@gmail.com; uaip@alcaldiadesanlorenzo.gob.sv
Alcaldia Municipal de San Pedro Puxtla|alcaldiasanpedropuxtla@hotmail.com
Alcaldía Municipal de Tacuba|stevengranados555@gmail.com
Alcaldia Municipal de Turín|alcaldia_turin@hotmail.com
Alcaldia Municipal de Jujutla|wilfuentes87@yahoo.es 
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
