NOMBRE|CORREO
Alcaldia Municipal de Jucuaran|secretmunicipal2013@gmail.com
Alcaldia Municipal de  Alegría|informatica@alegria.gob.sv
Alcaldia Municipal de  Berlin|uaip.berlin@hotmail.com
Alcaldia Municipal de  California|uaipcalifornia2012@yahoo.com; california1897@yahoo.es
Alcaldia Municipal de  Concepción Batres|alcaldiabatres@yahoo.com
Alcladía Municipal El Triunfo|jarc_alcalde@yahoo.com
Alcaldia Municipal de  Ereguayquin|alcaldiadeereguayquin@gmail.com
Alcaldia Municipal de  Estanzuelas|jesus2014.hr@gmail.com 
Alcaldia Municipal de  Jiquilisco|adriana6884@hotmail.com; alcaldia_jiquilisco@hotmail.com
Alcaldia Municipal de  Jucuapa|alcaldiajucuapa2015@gmail.com; uaip_jucuapa@yahoo.com
Alcaldia Municipal de  Mercedes Umaña|alcaldiademercedesu@hotmail.com
Alcaldia Municipal de  Nueva Granada|alcaldiang1907@gmail.com
Alcaldia Municipal de  Ozatlán|alcaldiaozatlan@yahoo.com
Alcaldia Municipal de  Puerto El Triunfo|alcaldiadepuertoeltriunfo@outlook.com; darmlord@hotmail.com
Alcaldia Municipal de San Agustín|alcaldia_sanagustin@hotmail.es
Alcaldia Municipal de San Buenaventura|alcaldiadesanbuena@yahoo.com
Alcaldia Municipal de San Dionisio|alcaldia_dionisio@hotmail.com
Alcaldia Municipal de San Francisco Javier|uaip2016amsf@gmail.com
Alcaldia Municipal de Santa Elena|alcaldiamunicipaldesantaelena@gmail.com
Alcaldia Municipal de Santa María |alcaldia_santamaria@hotmail.com
Alcaldia Municipal de Santiago de Maria |alcaldiamunicipal@santiagodemaria.gob.sv; aliciamaria1507@hotmail.com
Alcaldia Municipal de Tecapán|alcaldiadetecapan@yahoo.com
Alcaldía Municipal de Usulután|informacion@alcaldiausulutan.gob.sv
