NOMBRE|CORREO
Alcaldia Municipal de San Lorenzo|escamilla-flores@hotmail.com; alcaldiadesanlorenzo@hotmail.com
Alcaldia Municipal de San Ildefonso|alcaldiamunicipalsanildefonso@yahoo.com
Alcaldia Municipal de San Vicente|comunicaciones@amsv.gob.sv 
Alcaldia Municipal de Apastepeque|alcaldiadeapastepeque@yahoo.es; alcaldiapastepeque@gmail.com 
Alcaldia Municipal de Guadalupe|e_pineda05@hotmail.com
Alcaldia Municipal de San Cayetano Istepeque|alcaldia.sancayetano.istepeque@gmail.com
Alcaldia Municipal de San Esteban Catarina|alcaldiasanestebancatarina@hotmail.com
Alcaldia Municipal de San Sebastian|uaip@alcaldiasansebastian.gob.sv ; uacisansebastian@yahoo.com 
Alcaldia Municipal de Santa Clara|alcaldiasantaclara@gmail.com; secrealcaldiasantaclara@gmail.com 
Alcaldia Municipal de Santo Domingo|santodomingo.alcaldia@gmail.com; uaip.santodomingo@hotmail.com
Alcaldia Municipal de Tecoluca|comunicaciones_tecoluca@yahoo.es 
Alcaldia Municipal de Tepetitan|alcaldia_municipal_tepetitan@hotmail.com; aliciavillalta04@gmail.com 
Alcaldia Municipal de Verapaz|oirverapaz@gmail.com
