NOMBRE|CORREO
Alcaldia Municipal de Quezaltepeque|secretariaquezalte@yahoo.com
Alcaldia Municipal de Sacacoyo|oir_sacacoyo@hotmail.com
Alcaldia Municipal de Santa Tecla|accesoinformacion@amst.gob.sv
Alcaldia Municipal de Antiguo Cuscatlán|unidadaccesoinfo@antiguocuscatlan.gob.sv 
Alcaldia Municipal de Ciudad Arce|transparencia@ciudadarce.gob.sv 
Alcaldía Municipal de Colon|uaip@colon.gob.sv; colonuaip@gmail.com
Alcaldia Municipal de Comasagua|secretaria.comasagua@hotmail.com
Alcaldia Municipal de Chiltiupán|alcaldiachiltiupan@yahoo.es; uaip.chitiupan2013@gmail.com; uaip.chiltiupan@gmail.com 
Alcaldia Municipal de Huizucar|alcaldia_huiazcar@yahoo.es 
Alcaldia Municipal de Jayaque|uaci_jayaque@yahoo.com; uma.jayaque@yahoo.com 
Alcaldia Municipal de Jicalapa|jicalapa_atm@hotmail.com
Alcaldia Municipal de La Libertad|"transparencia@alcaldiadelalibertad.com; alcalde@alcaldialalibertad.com
"
Alcaldia Municipal de Nuevo Cuscatlán|jlm_martinez@hotmail.com
Alcaldia Municipal de San José Villanueva|oirsjv@gmail.com
Alcaldia Municipal de San Juan Opico|uaip@alcaldiasanjuanopico.gob.sv; uaip@amsjo.gob.sv; celsof13@yahoo.es
Alcaldia Municipal de San Matias|alcaldia.municipal_sanmatias@hotmail.com; alcaldia.sanmatias@yahoo.com
Alcaldia Municipal de San Pablo Tacachico|accesoalainformacion@tacachico.gob.sv; atacachico@gmail.com
Alcaldia Municipal de Talnique|amtalnique@gmail.com; xander201987@gmail.com 
Alcaldia Municipal de Tamanique|oficialinf.tama@gmail.com
Alcaldia Municipal de Teotepeque|uacioteopeteque@hotmail.com; alcaldiadeteotepeque@yahoo.com.mx
Alcaldia Municipal de Tepecoyo|tepecoyosv@gmail.com; tepecoyocomunicaciones@gmail.com 
Alcaldia Municipal de Zaragoza|comunicacioneszaragoza@gmail.com; informacion.alcaldiazaragoza@gmail.com 
