NOMBRE|CORREO
Alcaldia Municipal de Izalco|gerenciaizalco@hotmail.com
Alcaldia Municipal de Salcoatitan|yesenializama@hotmail.com; salcoatitanalcaldia@gmail.com
Alcaldia Municipal de San Antonio del Monte|alcaldia.sanantoniodelmonte@yahoo.com
Alcaldia Municipal de Sonsonate|uaipamso@outlook.com 
Alcaldia Municipal de Acajutla|laip@acajutla.gob.sv 
Alcaldia Municipal de Armenia|yass_mtorres@hotmail.com
Alcaldia Municipal de Caluco|uaipalcaldiacaluco@gmail.com
Alcaldia Municipal de Cuisnahuat|alcaldia_cuisnahuat@hotmail.com
Alcaldia Municipal de Nahuilingo|alc.ngo@gmail.com
Alcaldia Municipal de Nahuizalco|eliza_liz@yahoo.es
Alcaldía Municipal de Juayua|alcaldia.juayua2012@hotmail.es
Alcaldia Municipal de San Julián|alcaldia@sanjulian.gob.sv 
Alcaldia Municipal de Santa Catarina Masahuat|santacatarinamasahuat2015@hotmail.com; oangarcia_10@hotmail.com
Alcladía Municipal de Santa Isabel Ishuatán|alcaldiamunicipaldesantaisabel@yahoo.com
Alcaldía Municipal de Izalco|uaip@alcaldiaizalco.gob.sv
Alcaldia Municipal de Santo Domingo de Guzmán|alcaldiamunicipaldesantodomingo@outlook.com
Alcaldia Municipal de Sonzacate|alcaldiampalzs@hotmail.com
