NOMBRE|CORREO
Alcaldia Municipal de Comacarán|comacaran.alcaldia@yahoo.com
Alcaldia Municipal de Sesori|alcaldiasesori2002@yahoo.es
Alcaldia Municipal de San Miguel|accesoinfopublica@alcaldiasanmiguel.gob.sv
Alcaldia Municipal de Ciudad Barrios|uaipalcaldiacbarrios@gmail.com; secretariamunicipal.sv@hotmail.com
Alcaldia Municipal de Carolina|alcaldiadecarolina@hotmail.com
Alcaldia Municipal de Chapeltique|alcaldiachapeltique@gmail.com; info@alcaldiachapeltique.com 
Alcaldia Municipal de Chinameca|alcaldiachinameca2015@hotmail.com; juridica.moraga@gmail.com 
Alcaldia Municipal de Chirilagua|achirilagua@gmail.com 
Alcaldia Municipal de El Transito|alcaldiamunicipaleltransito@gmail.com
Alcaldia Municipal de Lolotique|alcaldiadelolotique@hotmail.es; recepcionlolotique15@hotmail.com
Alcaldia Municipal de Moncagua|alcaldiamoncagua@hotmail.com
Alcaldia Municipal de Nueva Guadalupe|alcaldianuevaguadalupe@hotmail.com; secretario_nuevaguadalupe@hotmail.com
Alcaldia Municipal de Nuevo Edén de San Juan|amayaalc@hotmail.com 
Alcaldia Municipal de Quelepa|secretariamunicipalquelapa@hotmail.com: alcaldiamunicipalquelepa@hotmail.com
Alcaldia Municipal de San Gerardo|salcaldiamunicipal@yahoo.com
Alcaldia Municipal de San Jorge|licjaimemartinez@hotmail.com; laipalcaldiamsj@hotmail.com
Alcaldia Municipal de San Luis de la Reina|alca_sanluisdelareina@hotmail.com
Alcaldia Municipal de San Rafael Oriente|alcaldiasanrafaeloriente@gmail.com 
Alcaldia Municipal de Uluazapa|alcaldiauluazapa@yahoo.com
Alcaldia Municipal de San Antonio del Mosco|uaipvillasanantonio@gmail.com; villasanantonio.despacho@gmail.com
