NOMBRE|CORREO
Alcaldia Municipal de las Vueltas|alcaldia.lasvueltas@hotmail.com
Alcaldia Municipal de San Miguel de Mercedes|alcaldialasmercedes@yahoo.es
Alcaldia Municipal de Nueva Concepcion|oir.alcaldiadenuevaconcepcion@gmail.com; uaip.alcaldiadenuevaconcepcion@gmail.com 
Alcaldia Municipal de Tejutla|secretariatejutla@yahoo.es; alcaldiadetejutla@yahoo.com
Alcaldia Municipal de Chalatenango|uaip.municipal@chalatenango.gob.sv 
Alcaldia Municipal de Agua Caliente|secretariamunicipalaguacaliente@hotmail.com
Alcaldia Municipal de Arcatao|alcaldiaarcatao@yahoo.com.mx
Alcaldia Municipal de Azacualpa|alcaldia_azacualpa@hotmail.com
Alcaldia Municipal de Citalá|municipalidadcitala@hotmail.com
Alcaldia Municipal de Comalapa|comalapachalate@gmail.com
Alcaldia Municipal de Concepción Quezaltepeque|leon3020@hotmail.es; alcaldiamunicipaldeconcepcionquezaltepeque2012@hotmail.com
Alcaldia Municipal de Dulce Nombre de María|dulcenombredemaria.alcaldia@gmail.com
Alcaldia Municipal de El Carrizal|alcaldiaelcarrizal@navegante.com.sv
Alcaldia Municipal de El Paraiso|alcaldiaelparaiso.gob@hotmail.com
Alcaldia Municipal de La Laguna|alcaldialalaguna@comures.org
Alcaldia Municipal de La Palma|alcaldiadelapalma@yahoo.com
Alcaldia Municipal de La Reina|uacilareina@hotmail.es
Alcaldia Municipal de Nombre de Jesús|alcaldia_nombredejesus@yahoo.es
Alcaldia Municipal de Nueva Trinidad|oficialnuevatrinidad@yahoo.com 
Alcaldia Municipal de Ojos de Agua|sanjose_alcaldia@yahoo.es; ojosdeagua1855@hotmail.com
Alcaldia Municipal de Ojos de Potonico|secretaria.potonico@gmail.com
Alcaldia Municipal de  San Antonio de la Cruz|secret.mpal.amsa@outlook.com 
Alcaldia Municipal de  San Antonio los Ranchos|alcaldialosranchos@gmail.com
Alcaldia Municipal de  San Fernando|alcaldiamunicipalsanfernando@yahoo.com
Alcaldia Municipal de  San Francisco Lempa|marvinponce@hotmail.es
Alcaldia Municipal de  San Francisco Morazán|sanfranciscomorazan@gmail.com 
Alcaldia Municipal de  San Ignacio|sanignacio_chalatenango@yahoo.com
Alcaldia Municipal de  San Isidro Labrador|alcaldiasil_m@yahoo.com
Alcaldia Municipal de  San José Cancasque|cancasquealcaldia@hotmail.com
Alcaldia Municipal de  San José Las Flores|munilasflores@hotmail.com
Alcaldia Municipal de  San Luis del Carmen|alcaldia@alcaldiasanluisdelcarmen.gob.sv 
Alcaldia Municipal de  San Rafael|asanrafael@gmail.com
Alcaldia Municipal de  Santa Rita|alcaldia.sta.rita@gmail.com
